name,location,address,price,quantity,beds,status,income_min,income_max,listed_at,open_on,close_on,source,link
"Harpur Lane, Leixlip, Co. Kildare",Kildare - Leixlip,"Harpur Lane, Leixlip, Co. Kildare, Ireland",1671,1,2,closed,54343,59000,,,10/06/2026,lda,https://lda.ie/affordable-homes/lda-cost-rental/harpur-lane-leixlip-co-kildare-2
"Harpur Lane, Leixlip, Co. Kildare",Kildare - Leixlip,"Harpur Lane, Leixlip, Co. Kildare, Ireland",1357,1,1,closed,46526,59000,,,28/04/2026,lda,https://lda.ie/affordable-homes/lda-cost-rental/harpur-lane-leixlip-co-kildare
"Harpur Lane, Leixlip, Co. Kildare",Kildare - Leixlip,"Harpur Lane, Leixlip, Co. Kildare, Ireland",1357,2,1-2,closed,46526,59000,,,22/01/2024,lda,https://lda.ie/affordable-homes/lda-cost-rental/harpurs-lane
Innovation Square,Dublin - Belgard,"Innovation Square, Belgard, Co. Dublin, Ireland",950,133,1-3,closed,,,31/10/2025,03/11/2025,12/11/2025,affordablehomes,https://affordablehomes.ie/rent/innovationsquare/
Kilcarbery Grange,Dublin - Clondalkin,"Kilcarbery Grange, Clondalkin, Co. Dublin, Ireland",1295,1,1,closed,,,09/04/2026,09/04/2026,16/04/2026,affordablehomes,https://affordablehomes.ie/rent/kilcarberygrange1/
Kilcarbery Grange,Dublin - Clondalkin,"Kilcarbery Grange, Clondalkin, Co. Dublin, Ireland",1295,1,1,closed,,,17/10/2025,17/10/2025,24/10/2025,affordablehomes,https://affordablehomes.ie/rent/kilcarberygrange/
Kilcarbery Grange,Dublin - Clondalkin,"Kilcarbery Grange, Clondalkin, Co. Dublin, Ireland",1025,74,1-2,closed,,,24/07/2024,,05/08/2024,affordablehomes,https://affordablehomes.ie/rent/kilcarbery-grange/
Kilcarbery Grange (The Rowans and The Ashes),Dublin - D22 Clondalkin,"Kilcarbery Grange (The Rowans and The Ashes), Clondalkin, Dublin 22, Ireland",1285,,1-3,closed,,,,,,tuath,https://tuathhousing.ie/properties/kilcarbery-grange/
Kilmartin Grove,Dublin - Hollystown,"Kilmartin Grove, Hollystown, Co. Dublin, Ireland",1390,1,2,closed,,,20/02/2026,20/02/2026,27/02/2026,affordablehomes,https://affordablehomes.ie/rent/kilmartingrove4/
Kilmartin Grove,Dublin - Hollystown,"Kilmartin Grove, Hollystown, Co. Dublin, Ireland",1254,1,1,closed,,,23/01/2026,23/01/2026,30/01/2026,affordablehomes,https://affordablehomes.ie/rent/kilmartin-grove-0126/
Kilmartin Grove,Dublin - Hollystown,"Kilmartin Grove, Hollystown, Co. Dublin, Ireland",1668,1,3,closed,,,22/12/2025,22/12/2025,29/12/2025,affordablehomes,https://affordablehomes.ie/rent/kilmartin-grove-1225/
Kilmartin Grove,Dublin - Hollystown,"Kilmartin Grove, Hollystown, Co. Dublin, Ireland",1226,136,1-3,closed,,,06/03/2025,,20/03/2025,affordablehomes,https://affordablehomes.ie/rent/kilmartin-grove-2/
Kilmartin Grove,Dublin - Hollystown,"Kilmartin Grove, Hollystown, Co. Dublin, Ireland",1226,74,1-3,closed,,,25/06/2024,,03/07/2024,affordablehomes,https://affordablehomes.ie/rent/kilmartin-grove/
Kilmartin Grove,Dublin - D15 Hollystown,"Kilmartin Grove, Hollystown, Dublin 15, Ireland",1226,,1-3,closed,,,,,,tuath,https://tuathhousing.ie/properties/kilmartin-grove/
Lancaster Gate,Cork - Cork City,"Lancaster Gate, Cork City, Co. Cork, Ireland",1020,1,1,closed,,,18/06/2025,18/06/2025,02/07/2025,affordablehomes,https://affordablehomes.ie/rent/lancastergate1/
Lancaster Gate,Cork - Cork City,"Lancaster Gate, Cork City, Co. Cork, Ireland",1135,4,2,closed,,,14/04/2025,16/04/2025,30/04/2025,affordablehomes,https://affordablehomes.ie/rent/lancaster-gate0425/
Lancaster Gate,Cork - Cork City,"Lancaster Gate, Cork City, Co. Cork, Ireland",990,73,1-3,closed,,,13/09/2023,13/09/2023,20/09/2023,affordablehomes,https://affordablehomes.ie/rent/lancaster-gate/
Lanestown Apartments,Dublin - Donabate,"Lanestown Apartments, Donabate, Co. Dublin, Ireland",1161,29,1,closed,,,09/01/2025,09/12/2024,16/12/2024,affordablehomes,https://affordablehomes.ie/rent/lanestown-apartments/
Lanestown View,Dublin - Donabate,"Lanestown View, Donabate, Co. Dublin, Ireland",1203,1,1,closed,,,18/03/2026,18/03/2026,25/03/2026,affordablehomes,https://affordablehomes.ie/rent/lanestownview2/
Lanestown View,Dublin - Donabate,"Lanestown View, Donabate, Co. Dublin, Ireland",1425,1,2,closed,,,21/11/2025,17/11/2025,24/11/2025,affordablehomes,https://affordablehomes.ie/rent/lanestownview/
Lanestown View,Dublin - Donabate,"Lanestown View, Donabate, Co. Dublin, Ireland",1538,1,3,closed,,,27/11/2024,27/11/2024,04/12/2024,affordablehomes,https://affordablehomes.ie/rent/lanestown-view/
"Lisieux Hall, Sandyford, Dublin 18",Dublin - D18 Sandyford,"Lisieux Hall, Sandyford, Co. Dublin, Ireland",1183,67,1-3,closed,,,28/10/2025,28/10/2025,04/11/2025,affordablehomes,https://affordablehomes.ie/rent/lisieuxhall/
"Longview, Ballyvolane, Cork City",Cork - Ballyvolane,"Longview, Ballyvolane, Co. Cork, Ireland",1340,28,2-3,closed,,,18/06/2025,18/06/2025,02/07/2025,affordablehomes,https://affordablehomes.ie/rent/longview/
Maple Woods,Cork - Midleton,"Maple Woods, Midleton, Co. Cork, Ireland",1250,,2-3,closed,,,,,,tuath,https://tuathhousing.ie/properties/maple-woods/
"Maple Woods, Ballinacurra, Midleton",Cork - Midleton,"Maple Woods, Midleton, Co. Cork, Ireland",1250,40,2-3,closed,,,14/08/2025,14/08/2025,19/09/2025,affordablehomes,https://affordablehomes.ie/rent/maple-woods-0825/
Montpelier,Dublin - D7,"Montpelier, Dublin 7, Co. Dublin, Ireland",1490,75,1-3,closed,,,26/03/2026,30/03/2026,20/04/2026,affordablehomes,https://affordablehomes.ie/rent/montpelier/
Montpelier,Dublin - D7,"Montpelier, Dublin 7, Ireland",1490,75,1-3,closed,,,,,20/04/2026,tuath,https://tuathhousing.ie/properties/montpelier/
Mount Neil,Waterford - Carrickphierish,"Mount Neil, Carrickphierish, Co. Waterford, Ireland",950,25,2-3,closed,,,02/01/2025,02/01/2025,07/01/2025,affordablehomes,https://affordablehomes.ie/rent/mount-neil/
Mountneil,Wexford - Carrickperish,"Mountneil, Carrickperish, Co. Wexford, Ireland",1219,1,3,closed,,,04/06/2026,04/06/2026,11/06/2026,affordablehomes,https://affordablehomes.ie/rent/mountneil1/
Mountneil,Waterford - Carrickperish,"Mountneil, Carrickperish, Co. Waterford, Ireland",1219,1,3,open,,,,04/06/2026,11/06/2026,tuath,https://tuathhousing.ie/properties/mountneil/
Newton Heights,Cork - Lotamore,"Newton Heights, Lotamore, Co. Cork, Ireland",1407,18,3,closed,,,07/05/2025,07/05/2025,21/05/2025,affordablehomes,https://affordablehomes.ie/rent/newton-heights-2/
Newton Heights,Cork - Lotamore,"Newton Heights, Lotamore, Co. Cork, Ireland",1206,51,2-3,closed,,,14/04/2025,16/04/2025,30/04/2025,affordablehomes,https://affordablehomes.ie/rent/newton-heights/
Niven Oaks,Dublin - Santry,"Niven Oaks, Santry, Co. Dublin, Ireland",1350,98,1-2,closed,,,11/03/2026,13/03/2026,02/04/2026,affordablehomes,https://affordablehomes.ie/rent/nivenoaks/
Niven Oaks,Ireland - Santry,"Niven Oaks, Northwood, Santry, Ireland",1350,98,1-2,closed,,,,,,tuath,https://tuathhousing.ie/properties/niven-oaks-santry/
"Northgate Hall, Kilcarbery Grange, Clondalkin, Dublin 22",Dublin - D22 Clondalkin,"Northgate Hall, Clondalkin, Co. Dublin, Ireland",1054,1,1,closed,,,15/12/2025,16/12/2025,23/12/2025,affordablehomes,https://affordablehomes.ie/rent/northgatehall/
"Northgate Hall, Kilcarbery Grange, Dublin 22",Dublin - D22 Clondalkin,"Northgate Hall, Clondalkin, Co. Dublin, Ireland",1264,1,2,closed,,,08/07/2025,08/07/2025,15/07/2025,affordablehomes,https://affordablehomes.ie/rent/northgate-kilcarbery/
Oscar Traynor Woods,Dublin - D17,"Oscar Traynor Woods, Dublin 17, Co. Dublin, Ireland",1547,56,2-3,closed,,,13/01/2026,14/01/2026,28/01/2026,affordablehomes,https://affordablehomes.ie/rent/oscartraynor-woods/
Park Street,Monaghan - 35 – 36 Park Street,"Park Street, 35 – 36 Park Street, Co. Monaghan, Ireland",673,16,1-2,closed,,,10/11/2025,17/11/2025,27/11/2025,affordablehomes,https://affordablehomes.ie/rent/parkstreet1/
Parklands,Dublin - Citywest,"Parklands, Citywest, Co. Dublin, Ireland",1450,12,3,closed,,,28/08/2024,,04/09/2024,affordablehomes,https://affordablehomes.ie/rent/parklands/
Parklands Parade,Dublin - Citywest,"Parklands Parade, Citywest, Co. Dublin, Ireland",1321,1,2,closed,,,24/03/2026,24/03/2026,31/03/2026,affordablehomes,https://affordablehomes.ie/rent/parklandsparade2/
Parklands Parade,Dublin - Citywest,"Parklands Parade, Citywest, Co. Dublin, Ireland",1302,1,2,closed,,,08/07/2025,08/07/2025,15/07/2025,affordablehomes,https://affordablehomes.ie/rent/parkland/
"Parklands Parade, Citywest, Dublin 24",Dublin - D24 Citywest,"Parklands Parade, Citywest, Dublin 24, Co. Dublin, Ireland",1302,2,2,closed,,,15/12/2025,16/12/2025,23/12/2025,affordablehomes,https://affordablehomes.ie/rent/parklands-parade/
"Parklands Phase 2, Citywest, Dublin 24",Dublin - D24 Citywest,"Parklands Phase 2, Citywest, Dublin 24, Ireland",1350,3,3-4,closed,46286,66000,,,,lda,https://lda.ie/affordable-homes/lda-cost-rental/parklands-2
"Parklands, Citywest, Dublin 24",Dublin - D24 Citywest,"Citywest Dr, Citywest, Co. Dublin, Ireland",1488,1,3,closed,49714,66000,,,10/06/2026,lda,https://lda.ie/affordable-homes/lda-cost-rental/parklands-citywest-dublin-24-4
Parkside,Dublin - Belmayne,"Parkside, Belmayne, Co. Dublin, Ireland",1320,80,1-2,closed,,,11/12/2024,11/12/2024,08/01/2025,affordablehomes,https://affordablehomes.ie/rent/parkside/
"Parkside, Belmayne, Dublin 13",Dublin - D13 Belmayne,"Parkside, Belmayne, Co. Dublin, Ireland",1397,85,1-3,closed,,,16/10/2025,15/10/2025,29/10/2025,affordablehomes,https://affordablehomes.ie/rent/parkside2/
"Parkside, Belmayne, Dublin 13",Dublin - D13 Belmayne,"Parkside, Belmayne, Dublin 13, Ireland",1000,1,studio,closed,34286,66000,,,03/06/2026,lda,https://lda.ie/affordable-homes/lda-cost-rental/parkside-belmayne-dublin-13-8
"Parkside, Belmayne, Dublin 13",Dublin - D13 Belmayne,"Parkside, Belmayne, Dublin 13, Ireland",1320,1,1,closed,45257,66000,,,08/04/2026,lda,https://lda.ie/affordable-homes/lda-cost-rental/parkside-belmayne-dublin-13-7
"Parkside, Belmayne, Dublin 13",Dublin - D13 Belmayne,"Parkside, Belmayne, Dublin 13, Ireland",1000,4,studio-2,closed,34286,66000,,,09/09/2024,lda,https://lda.ie/affordable-homes/lda-cost-rental/parkside-belmayne-dublin-13
"Pipers Square, Charlestown, Dublin 11",Dublin - D11 Charlestown,"Pipers Square, Charlestown, Co. Dublin, Ireland",1387,143,1-3,closed,,,14/04/2026,14/04/2026,21/04/2026,affordablehomes,https://affordablehomes.ie/rent/pipers/
Páirc Na Manach,Kildare - Newbridge,"Páirc Na Manach, Newbridge, Co. Kildare, Ireland",1118,14,1-2,closed,,,18/09/2024,,25/09/2024,affordablehomes,https://affordablehomes.ie/rent/pairc-na-manach/
Rath Rua,Laois - Portlaoise,"Rath Rua, Portlaoise, Co. Laois, Ireland",1105,1,2,open,,,16/06/2026,16/06/2026,23/06/2026,affordablehomes,https://affordablehomes.ie/rent/rathrua1/
Rath Rua,Laois - Portlaoise,"Rath Rua, Portlaoise, Co. Laois, Ireland",1105,,2,closed,,,,,,tuath,https://tuathhousing.ie/properties/rath-rua/
"Rath Rua, Dublin Road, Portlaoise",Laois - Portlaoise,"Rath Rua, Dublin Road, Portlaoise, Co. Laois, Ireland",1105,32,2,closed,,,19/08/2025,20/08/2025,24/09/2025,affordablehomes,https://affordablehomes.ie/rent/rathrua/
Robinrath Green,Meath - Navan,"Robinrath Green, Navan, Co. Meath, Ireland",1270,20,2-3,closed,,,03/11/2025,04/11/2025,18/11/2025,affordablehomes,https://affordablehomes.ie/rent/robinrathgreen/
Robinrath Green,Ireland - Meath,"Robinrath Green, Navan, Meath, Ireland",1270,,2-3,closed,,,,,,tuath,https://tuathhousing.ie/properties/robinrath-green/
Semple Woods,Dublin - Donabate,"Semple Woods, Donabate, Co. Dublin, Ireland",1327,77,1-2,closed,,,27/06/2025,26/06/2025,11/07/2025,affordablehomes,https://affordablehomes.ie/rent/semple-woods-0625/
Semple Woods,Dublin - Donabate,"Semple Woods, Donabate, Co. Dublin, Ireland",1625,9,3,closed,,,12/01/2023,,21/01/2023,affordablehomes,https://affordablehomes.ie/rent/semple-woods/
Semple Woods,Dublin - Donabate,"Semple Woods, Donabate, Co. Dublin, Ireland",1327,,1-2,closed,,,,,,tuath,https://tuathhousing.ie/properties/semple-woods/
Shanganagh Castle Estate,Dublin - Shankill,"Shanganagh Castle Estate, Shankill, Co. Dublin, Ireland",1175,195,1-3,closed,,,11/12/2024,10/12/2024,17/12/2024,affordablehomes,https://affordablehomes.ie/rent/shanganagh-castle-estate/
"Shanganagh Castle Estate, Shankill, Co.Dublin",Dublin - Shankill,"Shanganagh Castle Estate, Shankill, Co.Dublin, Ireland",1575,1,2,closed,54000,66000,,,08/04/2026,lda,https://lda.ie/affordable-homes/lda-cost-rental/shanganagh-castle-estate-shankill-dublin-18-5
"Shanganagh Castle Estate, Shankill, Co.Dublin",Dublin - Shankill,"Shanganagh Castle Estate, Shankill, Co.Dublin, Ireland",1175,4,studio-3,closed,40286,66000,,,17/12/2024,lda,https://lda.ie/affordable-homes/lda-cost-rental/shanganagh-castle-estate-shankill-co-dublin
"Silverwood, Chickley’s Road, Youghal, Co. Cork",Cork - Youghal,"Silverwood, Chickley’s Road, Youghal, Co. Cork, Ireland",1170,8,3-4,closed,,,02/04/2026,20/04/2026,05/05/2026,affordablehomes,https://affordablehomes.ie/rent/silverwood/
"Southgate Hall, Kilcarbery Grange",Dublin - Clondalkin,"Southgate Hall, Clondalkin, Co. Dublin, Ireland",1263,1,2,closed,,,09/02/2026,11/02/2026,18/02/2026,affordablehomes,https://affordablehomes.ie/rent/southgate/
Stoneview,Dublin - Walkinstown,"Stoneview, Walkinstown, Co. Dublin, Ireland",1345,98,1-2,closed,,,14/04/2025,16/04/2025,30/04/2025,affordablehomes,https://affordablehomes.ie/rent/stoneview-walkinstown/
Stradowe Meadows,Kildare - Athy,"Stradowe Meadows, Athy, Co. Kildare, Ireland",1475,8,3,closed,,,31/10/2025,03/11/2025,17/11/2025,affordablehomes,https://affordablehomes.ie/rent/stradowemeadows/
Stradowe Meadows,Ireland - Kildare,"Stradowe Meadows, Athy, Kildare, Ireland",970,32,1-3,closed,,,,,,tuath,https://tuathhousing.ie/properties/stradowe-meadows-phase-2/
Stradowe Meadows (Phase 2),Kildare - Athy,"Stradowe Meadows (Phase 2), Athy, Co. Kildare, Ireland",970,24,1-2,closed,,,21/01/2026,21/01/2026,16/02/2026,affordablehomes,https://affordablehomes.ie/rent/stradowe-meadows-phase-two/
Swiftbanks,Ireland - Saggart,"Swiftbanks, Mill Road, Saggart, Ireland",1375,,1-2,closed,,,,,,tuath,https://tuathhousing.ie/properties/swiftbanks/
"Swiftbanks, Mill Road",Dublin - Saggart,"Swiftbanks, Mill Road, Saggart, Co. Dublin, Ireland",1375,95,1-2,closed,,,18/08/2025,19/08/2025,19/09/2025,affordablehomes,https://affordablehomes.ie/rent/swiftbanks/
Taylor Hill,Dublin - Balbriggan,"Taylor Hill, Balbriggan, Co. Dublin, Ireland",992,1,2,closed,,,11/04/2025,16/04/2025,30/04/2025,affordablehomes,https://affordablehomes.ie/rent/taylor-hill/
"The Ashes and the Rowans, Kilcarbery Grange",Dublin - D22 Clondalkin,"The Ashes and the Rowans, Clondalkin, Dublin 22, Co. Dublin, Ireland",1285,50,1-3,closed,,,29/05/2025,29/05/2025,12/06/2025,affordablehomes,https://affordablehomes.ie/rent/ashes-rowans-kilcarbery/
"The Avenue, Balmoston",Dublin - Donabate,"The Avenue, Balmoston, Donabate, Co. Dublin, Ireland",1795,1,3,closed,,,09/02/2026,09/02/2026,16/02/2026,affordablehomes,https://affordablehomes.ie/rent/theavenuebalmoston/
"The Crossings, Adamstown",Dublin - Adamstown,"The Crossings, Adamstown, Co. Dublin, Ireland",1024,248,1-3,closed,,,23/12/2025,07/01/2026,14/01/2026,affordablehomes,https://affordablehomes.ie/rent/crossingsadams/
"The Crossings, Adamstown, Co. Dublin",Dublin - Adamstown,"The Crossings, Adamstown, Co. Dublin, Ireland",1024,5,studio-3,closed,35109,66000,,,14/01/2026,lda,https://lda.ie/affordable-homes/lda-cost-rental/the-crossings-adamstown-co.-dublin--phase-1
The Fairways Midleton,Cork - Midleton,"The Fairways Midleton, Tir Cluain, Midleton, Co. Cork, Ireland",1090,10,2-3,closed,,,15/05/2025,03/06/2025,16/06/2025,affordablehomes,https://affordablehomes.ie/rent/thefairways/
The Gate,Dublin - Seven Mills,"The Gate, Seven Mills, Co. Dublin, Ireland",1608,17,2,closed,,,24/10/2024,24/10/2024,31/10/2024,affordablehomes,https://affordablehomes.ie/rent/the-gate/
"The Grange, Celbridge Road",Kildare - Maynooth,"The Grange, Celbridge Road, Maynooth, Co. Kildare, Ireland",1650,11,2,closed,,,28/01/2026,,04/02/2026,affordablehomes,https://affordablehomes.ie/rent/the-grange-maynooth/
The Maltings,Laois - Portlaoise,"The Maltings, Portlaoise, Co. Laois, Ireland",944,12,2,closed,,,29/05/2024,29/05/2024,05/06/2024,affordablehomes,https://affordablehomes.ie/rent/the-maltings/
"The Maltings, Portlaoise, Co. Laois",Laois - Portlaoise,"The Maltings, Portlaoise, Co. Laois, Ireland",1175,1,2,closed,,,17/09/2025,17/09/2025,01/10/2025,affordablehomes,https://affordablehomes.ie/rent/themaltings/
The Mills,Limerick - Castletroy,"The Mills, Castletroy, Co. Limerick, Ireland",1332,2,3,closed,,,06/05/2026,06/05/2026,20/05/2026,affordablehomes,https://affordablehomes.ie/rent/themill1/
The Mills,Limerick - Castletroy,"The Mills, Castletroy, Co. Limerick, Ireland",1278,8,3,closed,,,12/07/2024,12/07/2024,19/07/2024,affordablehomes,https://affordablehomes.ie/rent/the-mills/
"The Mills, Castletroy, Co. Limerick",Limerick - Castletroy,"The Mills, Castletroy, Co. Limerick, Ireland",990,1,1,closed,33943,59000,,,21/05/2026,lda,https://lda.ie/affordable-homes/lda-cost-rental/the-mills-castletroy-co-limerick
"The Mills, Castletroy, Co. Limerick",Limerick - Castletroy,"The Mills, Castletroy, Co. Limerick, Ireland",990,2,1-2,closed,33943,59000,,,21/01/2025,lda,https://lda.ie/affordable-homes/lda-cost-rental/the-mills-castletroy-limerick
The Paddocks,Kildare - Newbridge,"The Paddocks, Newbridge, Co. Kildare, Ireland",1037,1,1,closed,,,17/06/2025,18/06/2025,02/07/2025,affordablehomes,https://affordablehomes.ie/rent/paddocks-newbridge-0425/
The Paddocks,Dublin - Skerries,"The Paddocks, Skerries, Co. Dublin, Ireland",1250,14,1-2,closed,,,08/04/2025,04/04/2025,17/04/2025,affordablehomes,https://affordablehomes.ie/rent/paddocks-golflink/
The Paddocks,Kildare - Newbridge,"The Paddocks, Newbridge, Co. Kildare, Ireland",1000,250,1-3,closed,,,13/09/2023,13/09/2023,20/09/2023,affordablehomes,https://affordablehomes.ie/rent/the-paddocks/
The Paddocks,Dublin - Skerries,"The Paddocks, Skerries, Co. Dublin, Ireland",1300,,1-2,closed,,,,,,tuath,https://tuathhousing.ie/properties/the-paddocks/
The Place,Dublin - Seven Mills,"The Place, Seven Mills, Co. Dublin, Ireland",1425,38,1-2,closed,,,31/10/2024,31/10/2024,07/11/2024,affordablehomes,https://affordablehomes.ie/rent/the-place/
The Quarter,Dublin - Citywest,"The Quarter, Citywest, Co. Dublin, Ireland",1390,236,1-3,closed,,,10/01/2024,24/01/2024,31/01/2024,affordablehomes,https://affordablehomes.ie/rent/the-quarter/
"The Quarter, Citywest, Dublin 24",Dublin - D24 Citywest,"The Quarter, Citywest, Dublin 24, Ireland",1390,2,1-3,closed,47657,66000,,,28/05/2026,lda,https://lda.ie/affordable-homes/lda-cost-rental/the-quarter-citywest-dublin-24-6
"The Quarter, Citywest, Dublin 24",Dublin - D24 Citywest,"The Quarter, Citywest, Dublin 24, Ireland",1390,3,1-3,closed,47657,66000,,,31/01/2024,lda,https://lda.ie/affordable-homes/lda-cost-rental/thequarter-citywest
The Sidings,Dublin - Adamstown,"The Sidings, Adamstown, Co. Dublin, Ireland",1525,4,1-2,closed,,,09/01/2026,,26/01/2026,affordablehomes,https://affordablehomes.ie/rent/sidings-0126/
The Sidings,Dublin - Adamstown,"The Sidings, Adamstown, Co. Dublin, Ireland",1525,154,1-2,closed,,,20/11/2024,,25/11/2024,affordablehomes,https://affordablehomes.ie/rent/the-sidings/
"Tullybrook, Drogheda",Louth - Drogheda,"Tullybrook, Drogheda, Co. Louth, Ireland",1292,23,2-3,closed,,,13/01/2026,14/01/2026,28/01/2026,affordablehomes,https://affordablehomes.ie/rent/tullybrook/
Walker's Gate,Kildare - Kildare Town,"Walker's Gate, Kildare Town, Co. Kildare, Ireland",1272,2,3,closed,,,28/08/2024,,11/09/2024,affordablehomes,https://affordablehomes.ie/rent/walkers-gate/
Walker’s Gate,Kildare - Kildare Town,"Walker’s Gate, Kildare Town, Co. Kildare, Ireland",1272,1,3,closed,,,19/02/2026,19/02/2026,26/02/2026,affordablehomes,https://affordablehomes.ie/rent/walkersgate1/
Warrens Court,Cork,"Warrens Court, Barnahely, Ringaskiddy, Co. Cork, Ireland",1195,17,2-3,opening soon,,,11/06/2026,29/06/2025,13/07/2025,affordablehomes,https://affordablehomes.ie/rent/warrenscourt/
Whitehaven,Dublin - Santry,"Whitehaven, Northwood, Santry, Co. Dublin, Ireland",1697,1,2,closed,,,01/05/2025,01/05/2026,08/05/2026,affordablehomes,https://affordablehomes.ie/rent/whitehaven1/
Whitehaven,Ireland - Santry,"Whitehaven, Northwood, Santry, Ireland",1395,,1-3,closed,,,,,,tuath,https://tuathhousing.ie/properties/whitehaven/
"Whitehaven, Northwood, Santry",Dublin - Northwood,"Whitehaven, Northwood, Co. Dublin, Ireland",1395,174,1-3,closed,,,19/06/2025,19/06/2025,24/07/2025,affordablehomes,https://affordablehomes.ie/rent/whitehaven/
"Woodside Rise, Enniskerry, D18",Dublin - D18 Stepaside,"Woodside Rise, Stepaside, Dublin 18, Co. Dublin, Ireland",1224,1,2,closed,,,05/09/2025,05/09/2025,12/09/2025,affordablehomes,https://affordablehomes.ie/rent/woodside-rise-0925/
Woodstream,Meath - Navan,"Woodstream, Navan, Co. Meath, Ireland",1374,3,3,closed,,,11/04/2025,16/04/2025,30/04/2025,affordablehomes,https://affordablehomes.ie/rent/woodstream-ballis/
Woodstream,Meath - Navan,"Woodstream, Navan, Co. Meath, Ireland",1374,36,3,closed,,,16/10/2024,06/10/2024,23/10/2024,affordablehomes,https://affordablehomes.ie/rent/woodstream/
